City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
413,San Pedro,PH,2022-12-20 21:42:58,14.35,121.0167,76.23,92,100,3.44
414,Mataura,NZ,2022-12-20 21:42:49,-46.1927,168.8643,55.06,67,100,5.21
415,Saint-Philippe,RE,2022-12-20 21:44:04,-21.3585,55.7679,74.79,85,78,14.29
416,Albany,US,2022-12-20 21:44:05,42.6001,-73.9662,28.81,76,45,5.17
417,Dikson,RU,2022-12-20 21:39:59,73.5069,80.5464,-1.19,96,100,7.96
418,Ribeira Grande,PT,2022-12-20 21:44:06,38.5167,-28.7,64.8,94,75,16.11
419,Miri,MY,2022-12-20 21:44:07,4.4148,114.0089,80.17,100,40,3.44
420,Bluff,NZ,2022-12-20 21:38:53,-46.6,168.3333,53.17,70,100,12.35
421,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
422,Palana,RU,2022-12-20 21:44:08,59.1167,159.9667,28.6,82,100,19.42
423,Mecca,SA,2022-12-20 21:40:20,21.4267,39.8261,74.53,63,38,2.51
424,Punta Arenas,CL,2022-12-20 21:41:35,-53.15,-70.9167,69.91,30,40,11.5
425,Ushuaia,AR,2022-12-20 21:38:42,-54.8,-68.3,55.06,67,75,8.05
426,Okato,NZ,2022-12-20 21:44:10,-39.2,173.8833,71.91,100,19,2.68
427,Ponta Do Sol,PT,2022-12-20 21:42:59,32.6667,-17.1,69.71,86,69,1.32
428,Thompson,CA,2022-12-20 21:42:44,55.7435,-97.8558,-5.64,71,100,6.91
429,Vaini,TO,2022-12-20 21:38:56,-21.2,-175.2,86.16,79,40,13.8
430,New Norfolk,AU,2022-12-20 21:37:01,-42.7826,147.0587,60.89,60,62,3.0
431,Butaritari,KI,2022-12-20 21:44:12,3.0707,172.7902,81.41,80,84,17.22
432,Lesnoy,RU,2022-12-20 21:44:13,57.6198,63.0784,1.17,94,14,7.87
433,Nome,US,2022-12-20 21:44:13,64.5011,-165.4064,15.87,62,0,11.5
434,Ushuaia,AR,2022-12-20 21:38:42,-54.8,-68.3,55.06,67,75,8.05
435,Mataura,NZ,2022-12-20 21:42:49,-46.1927,168.8643,55.06,67,100,5.21
436,Hilo,US,2022-12-20 21:39:30,19.7297,-155.09,81.25,67,0,5.99
437,Tomatlan,MX,2022-12-20 21:44:15,19.9333,-105.25,85.62,42,5,6.15
438,Yellowknife,CA,2022-12-20 21:40:10,62.456,-114.3525,-28.68,75,20,6.91
439,Viedma,AR,2022-12-20 21:44:16,-40.8135,-62.9967,78.87,41,94,16.37
440,Saint Anthony,US,2022-12-20 21:44:17,45.0205,-93.218,3.42,69,0,14.97
441,Kunming,CN,2022-12-20 21:44:17,25.0389,102.7183,31.93,93,100,11.18
