,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Montepuez,MZ,70.39,moderate rain,-13.1256,38.9997,Complexo Messalo
483,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
495,Conceicao Da Barra,BR,75.74,light rain,-18.5933,-39.7322,Porto Marlin Hotel
496,Touros,BR,84.81,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
499,Laem Sing,TH,78.03,scattered clouds,12.4816,102.0738,The Pride Hotel
501,Beira,MZ,75.49,clear sky,-19.8436,34.8389,Hotel Savoy
504,Vieux-Habitants,GP,81.97,clear sky,16.0589,-61.7659,"Gîtes ""Les cocotiers"""
514,Necochea,AR,73.4,light rain,-38.5473,-58.7368,Cabañas Río Quequén
521,Mayumba,GA,76.15,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
532,Muisne,EC,79.09,overcast clouds,0.6,-80.0333,Hostal Té de Menta
536,Oudtshoorn,ZA,70.95,overcast clouds,-33.5907,22.2014,The Pearl
543,La Libertad,EC,78.46,clear sky,-2.2333,-80.9,Hotel Mar Caribe
547,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
550,Emerald,AU,71.35,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
554,Gold Coast,AU,73.0,light rain,-28.0,153.4333,Zenith
555,Ambilobe,MG,76.06,moderate rain,-13.2,49.05,Hôtel National
557,Rio Grande,BR,89.71,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
562,Buta,CD,74.75,overcast clouds,2.7858,24.73,Hôtel Rubi
564,Pobe,BJ,88.02,broken clouds,6.9801,2.6649,Hôtel Étoile d'or
585,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Fidji Motel
588,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,Ibis Styles
591,Maraba,BR,89.78,scattered clouds,-5.3686,-49.1178,Portobelo
600,Hervey Bay,AU,72.21,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
601,Gladstone,AU,71.78,light rain,-23.85,151.25,Gladstone Downtown Central
604,Nabire,ID,76.66,overcast clouds,-3.3667,135.4833,Hotel Anggrek
605,Pochutla,MX,83.82,clear sky,15.7432,-96.4661,Hotel El Patio
608,Itarema,BR,86.31,overcast clouds,-2.9248,-39.9167,Pousada Oásis
613,Rio Tercero,AR,72.23,light rain,-32.173,-64.1141,hotel Argentino
621,Benguela,AO,76.59,light rain,-12.5763,13.4055,Hotel Moibela
624,Barra Dos Coqueiros,BR,86.02,light intensity shower rain,-10.9089,-37.0386,Grande Hotel
